,label,lem_stpwrd
142,0,wa not happy item
143,0,disappointed
144,0,phone take forever charge like 2 5 hour literally
145,1,got phone recommendation relative i'm glad
146,0,waste time
147,0,reception poor
148,0,item stated included description not included
149,0,after 3 month screen went black sudden
150,0,wa hoping
151,0,audit quality poor poor
152,1,absolutely no problem head linking 8530 blackberry curve
153,1,know sound funny but seemed like sketch technology wouldn't work well well one work great
154,0,i've bought 5 wired headphone sound better
155,1,phone fast sending kind message web browsing significantly faster previous phone used
156,1,nice quality build unlike cheap
157,1,item fantastic work perfectly
158,1,love color
159,1,w810i superb
160,0,do whine internet go use thing le like
161,1,great charge
162,0,essentially communication tool doe not communicate
163,1,work like charm work one got phone
164,0,still maintain monkey shouldn't make headphone obviously don't share enough da copy design human
165,1,great value
166,0,doesn't work bought let not working
167,1,look sharp screen nice clear great graphic
168,0,doesn't last long
169,0,one thing hate mode set button side
170,1,excellent service
171,0,thank wasting money
172,0,audit quality poor
173,1,go charge tip really great
174,1,file brother offer option one need handsfree great
175,1,superb phone great network
176,1,connected wife's bluetooth motorola hs850 phone worked like charm whether phone wa pocket case
177,0,put latest fig like slow crawl lock every
178,0,recognizes phone storage device
179,0,like loud buzzing overrule conversation phone
180,0,don't buy product
181,0,i've bluetoooth head time still not comfortable way fit ear
182,1,sound quality good functionality awesome
183,0,phone thorn side really abhor
184,0,recently problem could not stay connected 10 minute before disconnected
185,1,incredible
186,0,design flaw
187,1,great phone
188,0,waste 13 buck
189,0,but check voice mail night keypad backlight turn second first message i'm lost
190,0,replacement died week
191,1,ring tone overall good phone buy
192,1,lately extremely nice helpful phone
193,0,problem wit hit dropping signal
194,0,not impressed
195,1,light weight hardly notice
196,1,love thin
197,0,bad choice
198,0,leather case doesn't fit
199,0,useless phone simply deaf
200,1,color even prettier thought would graphic incredibly sharp
201,1,think wa good investment
202,0,make strange ticking noise before end call
203,1,best electronics available transmitted
204,0,battery last hour
205,1,great head impressed h500
206,1,1 2 meg fixed camera part phone reasonably good
207,1,i've nearly 2 year ha worked great
208,1,good transmit audit
209,0,sending back
210,0,not bother contracting company dollar product but learned lesson not bought form online anyway
211,0,hate earbugs avoid phone mean
212,1,great price also
213,1,range decent i've able roam around house phone living room no reception sound quality issue
214,1,fast service
215,1,would highly recommend
216,1,would recommend
217,0,also didn't like button felt like would crack use
218,0,worst phone ever
219,1,i'm still infatuated phone
220,0,freeze frequently
221,0,kind embarrassing use look mostly embarrassing child like company
222,1,simple lightweight great fit
223,0,i'd expected better consumer experience motorola
224,0,there's horrible tick sound background call never experienced before
225,1,certainly comfortable functionality decent
226,1,usually don't like headband but one lightweight doesn't mess hair
227,0,i'm bit disappointed
228,0,phone year tell not great
229,0,ordered sonya ericsson w810i but think worked first used
230,0,battery completely useless
231,0,big waste time
232,0,don't waste one
233,1,great sound service
234,1,really pleased product far
235,1,one favorite purchase ever
236,1,best bluetooth market
237,1,authentic leather nice shine comfort recommend case
238,1,wa excited get head thought wa really cut
239,0,do not make mistake
240,0,big disappointment calendar son
241,0,phone wa unable wa not new
242,0,worst customer service ever
243,0,no additional ear get provided no instruction whatsoever
244,0,defeat purpose bluetooth head
245,1,worth every penny
246,1,excellent wallet type phone case
247,1,nice headphone price work great
248,0,internet excrutiatingly slow
249,1,comfortable wear well probably important aspect using case
250,1,fit like glove strong secure unable
251,1,gash best phone ever
252,1,attractive appears good quality
253,1,love feature form factor
254,0,product strong rubber petroleum smell wa unbearable after caused return
255,0,poor quality service
256,0,cable look thin fly scar
257,1,great apiece
258,1,excellent hand free tool
259,1,great using home sterno
260,1,good product incredible value
261,1,month but worked fearlessly far
262,1,work great
263,0,absolutely june
264,0,one didn't work either
265,1,battery life real good
266,0,returned 8 hour later
267,1,great item
268,0,don't waste money
269,1,love head
270,0,not drain player but may also potentially cry
271,1,worked perfectly
272,0,reliable i'm giving
273,1,gave 5 star sound quality
274,0,avoid one
275,1,reversible plug work great
276,0,wasted little money apiece
277,1,good phone
278,1,best rotating feature helpful
279,1,comfort whole family
280,1,good product good seller
281,1,love bluetooth
282,0,first doesn't wear well
283,1,impressed head plantronics
284,1,got wa small adorable
285,1,great phone
286,0,wouldn't recommend buying product
287,0,piece june
288,0,poorly construct hinge
289,1,item great installed let charged overlie ha working good every since no problem
290,1,great phone
291,0,don't buy
292,1,excellent phone
293,0,do not purchase phone
294,1,voice recognition thou hand excellent
295,1,hand best phone i've ever
296,1,work great cat attacked phone scratched protective strip instead destroying screen
297,1,one work wa price right
298,0,customer service wa terrible
299,0,battery life still not long enough motorola razor vi
300,0,sending back
301,1,know made wise decision
302,1,someone invented sooner
303,1,good price
304,1,everything worked first try device wa certainly engineered clever way construction feel good
305,1,received quickly work great
306,1,ha working great
307,0,many people complained found heads's microphone wa weak
308,0,5 year old nikita 2160 tracfone hold charge lot better
309,0,do not care consumer one bit
310,1,good battery got really fast
311,0,instruction manual lacking
312,1,also slim enough fit alarm clock locking station without removing case
313,1,phone hold charge like wa new
314,0,battery reliable well service use anna
315,0,uncomfortable sound quality quite poor compared phone razor previous wired head plugged
316,1,gotten lot compliment
317,1,definitely must state doe not allow cell phone usage driving
318,0,want money back
319,1,love device
320,1,also happy price
321,0,ordered product first wa unhappy immediately
322,0,engage still lacking earbuds
323,1,wa able do voice dealing car no problem
324,0,2 3 bar cell phone home but not hear anything
325,1,good item low price
326,0,however riingtones not best neither game
327,0,plug not work well
328,0,amazon suck
329,0,rip charge shipping
330,1,comfortable
331,1,battery working well replacement original came phone 2 year ago
332,1,reception excellent
333,1,fit comfortably either ear sound clear loud charge last couple day
334,1,clear quality sound don't mess sound upon since sound button head
335,0,1 long lasting battery don't charge frequently lip phone 2
336,0,obviously problem adhesive
337,0,disappointing
338,0,wa expensive piece but would still expected better quality
339,0,practically useless not add kind boost reception after bought
340,1,excellent sound quality
341,0,wa not happy
342,0,piece june broke after phone 2 day
343,1,new battery work great phone
344,0,worst customer service
345,1,i've dropped phone time say even concrete phone still great knock wood
346,0,reception terrible full static
347,1,good audit quality
348,1,little device ha transformed organizational capability made life whole lot easier
349,0,wa sitting vehicle cradle belt head lost signal
350,0,jerk phone
351,1,work like charm work advertised
352,1,comfortable nice range good battery life
353,0,network coverage los angeles horrible
354,0,excellent started tireless head
355,0,loudspeaker option great number light appealing
356,0,thing think could improve sound lead head
357,0,first reception suck never 2 bar ever
358,0,phone get extremely hot
359,1,microphone also work well but according people called applies everything
360,1,nice design quality
361,0,also phone dropped case not going save specially dropped face
362,1,light easy use ha clear reception transmission
363,0,bad fit way big
364,1,definitely wa not good
365,1,awesome device
366,0,waste money
367,1,ordered motorola data cable got well finished working product
368,1,love phone
369,1,wa looking head long time i've got couldn't happier
370,0,i'll driving along head start ringing no reason
371,1,display excellent camera good year
372,1,battery life also great
373,0,worst phone i've ever month
374,0,not good item worked started problem auto reverse tape player
375,0,embarrassing also ear hurt try push ear plug ear
376,1,protects phone side
377,0,average phone bad battery life operate weak network
378,1,clear type call long battery life long range
379,0,soto technology suck
380,1,great hand free device
381,1,even take self portrait outside exterior display cool
382,0,problem others mentioned
383,1,after trying many many handsfree badge one finally work well
384,1,magical help
385,0,worst piece cap ever along horizon customer service
386,0,poor sound quality
387,1,best phone market
388,1,worked well
389,1,company shipped product promptly work well
390,1,exactly wanted
391,0,picture resolution far below comparable price phone offering today
392,1,great deal
393,1,excellent product satisfied purchase
394,1,highly recommend encourage people give try
395,1,better expect
396,0,using earpiece left right thing not stay ear
397,1,great product price
398,1,sound good reasonably price effective simple
399,0,still waiting i'm sure item would work well ever receive
400,0,disappointment
401,1,prompt service
402,1,excellent product price
403,1,pleased head
404,0,don't waste money time
405,1,especially love long battery life
406,0,stupid keep buying new charge car charge cradle headphone car kit every time new phone come
407,1,work great
408,1,plantronics bluetooth excellent buy
409,0,came horizon singular ha nicer cell phone first thing noticed wa really bad service
410,0,i'll looking new apiece
411,1,highly recommend device everyone
412,1,jawbone era awesome
413,0,received white colored battery go dead after couple hoursthe original used last week but still last longer thereplacement
414,0,after year battery went completely dead head
415,1,used several phone two year but one best
416,1,awesome new look fall 2000
417,0,first phone i've ha cheaply made
418,0,att not clear sound distorted yell talk
419,0,plastic break really easy clip
420,1,price good
421,0,don't make mistake
422,0,oh forgot also mention weird color effect ha phone
423,1,i'm using river spine case fit fine
424,0,also area unit broke i'm not fond magnetic strap
425,1,overall pitched phone ha appointment contact get great reception
426,1,every thing phone work perfectly like
427,0,another note phone's appearance really look rather bland especially black model
428,1,really easy
429,1,santo ha survived dozen drop blacktop without ill effect
430,1,fantastic earphone
431,1,find cell phone right away enter car
432,0,low quality
433,1,highly recommend modest price cellular phone
434,1,but doe get better reception clarity phone i've before
435,0,warning stay away
436,0,wish could return unit get back money
437,1,device work great
438,0,used talk 1 1 1 2 hour battery would literally drained dying
439,0,don't find bad unit come one earned would not recommend anyone
440,0,displeased
441,0,might gotten defect but would not risk buying built quality alone
442,0,made case small difficult install
443,1,restored phone like new performance
444,1,would recommend purchasing mavra x 10 series 2 work fearlessly motor q go figure
445,1,searched internet found one best value
446,0,doe not fit
447,1,happy product
448,1,screen size big key pad lit well enough camera quality excellent camera phone
449,0,there's really nothing bad say head
450,1,i'm glad found product amazon hard find wasn't high price
451,1,portable work
452,1,colleague get great reception little expensive but performance great
453,0,even fully charged before went bed turned blue tooth noticed 20 left morning
454,0,i've also problem phone reading memory card always turn
455,0,not good wearing hat sunglass
456,1,timely shipment quality product
457,1,nice solid keyboard
458,1,well made fit surefire go perfectly
459,0,horrible phone
460,0,bt50 battery june
461,1,would recommend others
462,0,get software work computer
463,0,disappointed
464,0,poor voice clarity
465,1,battery work great
466,0,no buyer remorse one
467,0,disappointed accessoryone
468,0,find excusable probably returning phone perhaps changing carrier
469,1,look great strong
470,1,mobile service 2 3 year pretty happy
471,0,update procedure difficult cumbersome
472,0,disappointment hate anything go ear
473,1,great software motorolas
474,1,delivery wa time
475,1,easy use
476,0,uncomfortable ear don't use vx9900 end
477,0,volume switch rocket unit destination unknown
478,1,hold charge long time reasonably comfortable long wearing condition quality sound tremendous
479,0,i'd like return
480,1,keyboard really worthwhile usefulness sturdy enough don't expect problem
481,0,horizon's bill however difficult understand even though pricking plan simple
482,1,after charging overnight battery work great
483,1,won't regret
484,1,love phone
485,0,disappointment
486,0,not user friendly
487,0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
488,0,exchanged phone even problem
489,0,result phone either stuck max volume mute
490,1,pad rock
491,1,super charged use small horrid palmtop camera telephone excess role
492,1,would definitely recommend mavra bt250v looking comfort clarity great price
493,1,horizon 2 year ago really liked service
494,0,pretty piece june
495,0,plug wa wrong size
496,1,work described
497,0,save money i've item 11 month
498,0,bad purchase
499,1,well satisfied
500,1,bone noise concealing amazing important ny computer
501,1,battery excellent bargain
502,0,defective cap
503,0,would given no star wa able
504,1,wear glass fit fine
505,0,sound quality device unacceptable unless really quiet area almost hear nothing
506,0,would not recommend item anyone
507,0,bolster arrived not match photo ad
508,1,great no problem
509,0,earlier review noted plug charge nothing happens
510,1,frog phone charm adorable eye catching
511,0,never know pushed hard enough right number time function want not
512,1,sound clear people talk amazed quality
513,1,got aluminium case new palm worked really well ha protected handed perfectly far
514,1,good product well made
515,1,mobile phone tool must
516,1,impressed job motorola sturdiness phone
517,1,received order well within shipping timeframe everything wa good working order overall excited source
518,1,phone sturdy waterproof
519,0,not impressed would not recommend item anyone
520,0,complaint standard sound volume little low even turned 5 5
521,1,thanks amazon thing need good price
522,1,ended sliding edge part back pocket instead
523,1,go store bought new nikita phone working great
524,1,work great
525,0,really ugly
526,0,horrible switch 3 time
527,1,noise shield incredible
528,0,no real improvement
529,1,razor battery good buy
530,1,keep good work amazon
531,0,refuse refund replace
532,0,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening
533,0,basically threw money window nothing
534,1,great case price
535,0,took wa one drop 6 inch above kitchen counter wa cracked not impressed not laughing
536,1,bluetooth range good day ago left phone trunk got call carried conversation without pitch
537,1,small sleek impressive looking practical set ample storage place
538,1,largely channel sound directly ear seem increase sound volume clarity
539,0,none new one ever quite worked properly
540,1,glad purchased
541,0,i've missed numerous call reason
542,0,perhaps phone defective but people cannot hear use
543,0,don't buy product
544,0,sucked stuff doe not work phone
545,1,no shifting no bubbling no peeling not even scratch nothing couldn't happier new one
546,0,worst software ever used could give zero star would
547,0,trying make call exercise frustration
548,0,case fly piece plastic ha no front side protection whatsoever
549,1,mavra east wa happy but sound quality especially outdoing better
550,1,love camera really pretty good quality
551,1,thank great service
552,1,total package
553,1,seller understanding patient would definitely buy
554,0,give widely 1 star contact singular inform practice
555,0,aggravating
556,1,great product price
557,1,purchased both family friend enjoy clarity ease use
558,1,virgin tireless rock doe cheap little phone
559,0,none work don't buy
560,0,muddy low quality sound causing around wire's insert wa poorly super glued slid
561,0,please dont waste money
562,1,i'm quite satisfied purchase
563,0,looking good quality motorola head keep looking isn't
564,0,yet plantronincs continues use flowed charge design
565,0,disappointing result
566,0,cumbersome design
567,1,great wa new package nice work good no problem came le time expected
568,1,great product
569,0,piece cap
570,0,experience wa terrible wa fourth bluetooth head wa much comfortable last mavra hated
571,1,fix problem
572,0,worst ever
573,1,happy
574,1,i've no trouble accepting internet downloading ringtones performing function
575,0,barely ever hear constantly saying
576,0,battery life highly unacceptable
577,0,company joke
578,1,doe everything description said would
579,0,due happening every call wa forced stop using head
580,1,work great car charge especially cannot plug two adapted time
581,0,horizon teach support walked procedure none worked ended do hard set wiping data
582,0,voice quality signal strength dropped call
583,1,play louder speaker size price low would think quality lacking however not
584,1,better expected
585,0,feel poorly constructed venus difficult navigable button recess difficult push
586,1,battery holding well
587,0,also difficult put i'd recommend avoiding product
588,0,used two day wasn't always easy hear
589,0,got car charge not even after week charge wa broken went plug started smoking
590,0,spring terrible customer service
591,1,linked phone without effort
592,1,cool
593,1,easy use
594,1,better new
595,0,possessed get june no idea
596,0,piece trash
597,1,pretty good product
598,1,great phone
599,1,price amazon excellent product would highly recommend
600,1,research development division obviously know they're
601,0,real killer volume course breaking
602,1,phone working fine
603,1,happy product
604,0,poor construction
605,0,infuriating
606,1,overall would recommend phone new workman
607,0,spring charge service
608,0,cheap feel look cheap
609,1,fit ear well comfortable
610,0,doesn't work europe asia
611,1,clipping belt definitely make feel like 50 cent's coming
612,1,like design look mavra ear headset 5020 pretty comfortable wear 24 hour day without pain ear
613,1,wa amazed quick arrival two original cell phone battery fraction price
614,0,worst phone samson cap happy samson e715 worst ever seen
615,0,charge worked week completely stopped charging phone
616,0,poor product
617,0,however needed better instruction
618,0,need two hand operate screen software interface decade old cannot compete new software design
619,1,worked well haired tree 700w type head pp using united state american bluetooth transcriber
620,0,steer clear product go genuine palm replacement pen come three pack
621,0,do not buy do not but suck
622,1,great product sure beat using finger
623,0,plus seriously do not believe worth steep price point
624,1,case i've tried normally fall apart after month but one seems long haul
625,0,disappointing performance
626,0,don't make mistake please don't buy phone
627,0,phone might well worst i've ever brand
628,0,case wa le extra originally put but later discarded scratched ear
629,1,recommend go anyone different brand cell phone may player family
630,0,don't bother go store
631,1,posted detailed comment grey black phone but fire red great color
632,1,not problem item would order needed
633,0,get pay guess
634,1,not software do great job could also make ringtones form existing co without internet connection
635,1,surprised good quality car charge there's not much review
636,1,fabulous
637,0,however headset currently not good real time game like first person shutter since audit delay mass
638,1,used bitpim free program find internet transfer data phone price cable wa excellent
639,0,disappointing accessory good manufacturer
640,0,performed awful muffled tiny oncoming sound severe echo end call
641,1,wind resistant
642,0,obviously terrible customer service get pay
643,1,do not last forever but not overlay expensive replace easy operate sound much better others tried
644,0,contracted company told although unit wa still warranty couldn't produce receipt wa luck
645,0,link way exchange bad phone return unit something
646,1,phone sturdy nikita bar phone
647,1,great phone
648,0,placed tree case not wa not snug but wa lot extra room side
649,1,i'm pleased
650,0,battery terrible
651,1,found product easy set use
652,0,apiece large heavy keep falling ear
653,0,utter cap sound quality terrible
654,0,charge arrived within promised timeframe but not work
655,1,no ear loop needed tiny sound great
656,0,finally after three four time spring latch broke could not use longer vigor
657,1,handsfree part work fine but car try download address book tree boot overall still rate device high
658,0,talk united state americaeless customer service
659,0,felt light tiny
660,0,doe not fit palm tungsten e broke first time tried plug
661,1,i'm happy purchase good quality low price
662,1,love look feel samson flipphones
663,1,well designed sharp blue nice color
664,1,doe everything
665,0,could not recommend
666,1,nice sound
667,0,look good picture but case wa huge disappointment
668,1,much le jawbone wa going replace
669,1,set went smoothly
670,0,extremely slow take forever do anything
671,0,must study anyone interested worst sin industrial design
672,0,first thing happened wa cracking wa
673,1,well made easy access phone ha handy detachable belt clip
674,0,continue paring periodically since somehow kept dropping
675,0,can't unload ringtones third party
676,0,bluetooth doe not work phone lock screen flash make call random pocket locked
677,0,truly awful
678,1,work fine motorola 325 telephone lot better worn battery
679,1,volume finger real good choice loud
680,0,none tone acceptable
681,0,camera color balance awful
682,0,product clearly not ready prime time don't care cool look can't tell call coming worthless
683,1,love ringtones beat
684,0,chinese forgery abound
685,1,easy pair samson cell
686,0,instruction didn't explain microphone jack could used
687,0,would advise not purchase item never worked well
688,0,bad pay month service
689,1,work well
690,0,nikita ca 42 united state american cable not work phone
691,1,clear crisp sound
692,1,use smallest earpiece provided but stay pretty well
693,0,biggest complaint battery drain superfast
694,0,design might economic theory but could not stand ear
695,0,do not buy want use bolster
696,1,phone also take great picture even video clip
697,0,doesn't make look cool
698,1,both ear occupied background not distracting
699,1,comfortable fit need head comfortable least hour time not entire day
700,0,also phone doesn't seem accept anything except car pu preferably gripped window medium player
701,1,can't beat price
702,1,come strong light use light camera shot even flash signal seriously
703,1,lightweight work well
704,0,beware
705,1,love cable allows connect mind united state american device pp
706,0,anyone near hear part conversation
707,1,cool case open allowing screen get scratched
708,0,bought phone replacement started regretted since
709,1,appears actually outperform original battery china came v325i
710,0,can't store anything but phone number
711,0,last le minute actually try use phone wife ha phone problem
712,0,poor quality
713,1,mavra ear get r best
714,0,not worth
715,0,phone crashed completely get replaced
716,1,quit working after i'd used 18 month purchased another one best head i've ever owned
717,0,unfortunately not charge phone despite connecting multiple power source mac external battery wall outlet etc
718,1,wa great phone
719,0,simply want small lip phone look elsewhere extra bell whistle mediocre
720,1,good value work fine power via united state american car wall outlet
721,1,phone doesn't slide around car grip prevents phone slipping hand
722,1,simply best bluetooth head sound quality
723,0,think plan one sure last motor phone
724,1,span hour two people exclaim whoa new phone
725,1,always used corded headset freedom tireless helpful
726,1,case ha passed one year mark show sign wear 100 functional
727,1,leather nice soft fit tight cut face good shape
728,1,ha everything need couldn't ask
729,0,after receiving using product 2 day broke
730,1,product great make working lot easier go copier waiting hold something
731,0,none three size sent head would stay ear
732,1,mobile ha best customer service anywhere
733,1,arrived quickly much le expensive others sold
734,0,tried 2 unit both failed within 2 month pro
735,1,provides good protection look class
736,1,russe always good
737,1,tracfonewebsite user friendly make easy activate etc
738,1,design good 4
739,1,great reception time
740,1,would highly recommend product
741,0,couldn't use unit sunglass not good texas
742,0,not work time nikita 5320
743,0,bought mainly charge broke soon after purchasing
744,0,like loud buzzing overrule conversation phone
745,1,fantastic buy get whatever next phone
746,0,stay away store careful
747,1,blunt supertooth hand free phone speaker awesome
748,0,doe not fit
749,1,item arrived quickly work great retro pu samson r450 slide phone sonya premium sound ear plug
750,1,light ha plenty battery capacity comfortable wear somewhat extended period time
751,0,disappointing
752,1,blue ant easy use
753,1,cheap but hey work wa pleasantly surprised given low cost item
754,0,camera phone may used rustan indoors i'd rather using disposal
755,0,day later puff smoke came phone use
756,1,convenient simple use get job done make car ride much smoother
757,0,naso stated son wa disappointed
758,1,sound quality excellent well
759,1,best head used
760,0,would not recommend
761,1,around year carry highest quality anti glare screen protector found date
762,1,wanted
763,0,particular model would not work motorola q smartphone
764,0,wont work right least
765,0,addition feel amp look phone lightweight cheap plastic
766,0,but warranty problem reoccure bottom line put money somewhere else singular not support
767,0,really wanted plantronics 510 right one but ha many issue good
768,1,great product
769,1,crisp clear
770,0,after first charge kept going dead after 12 minute
771,0,cheap plastic creak like old wooden floor
772,0,get absolutely horrible reception apartment phone not problem
773,1,reception ha generally good
774,1,excellent sound battery life conspicuous boot
775,1,great bluetooth
776,1,highly recommend case
777,1,worthwhile
778,1,great deal
779,0,after phone got year old slowly breaking despite much care part
780,0,sorry made purchase
781,0,bought hoping could make bluetooth head fit better but thing made impossible wear
782,0,tree mobile refused replace forced buy another phone without kind upgrade discount
783,0,wa horrible
784,0,don't think would hold securely belt
785,0,allows possibility double booking date time after first
786,0,work 2 week break
787,1,simple use like
788,1,great tool entertainment communication data management oh sure use activesync 4 2 optical data synchronization result
789,0,can't use case smell disgusting
790,0,not wanted
791,1,2 case would order another
792,1,great phone
793,1,bought battery coupon amazon i'm happy purchase
794,0,internet access wa fine rare instance worked
795,1,perfect
796,1,five star plus plus
797,1,good quality bargain bought after bought cheap big lot sounded awful people end couldn't hear
798,0,50 drain
799,0,tried talking real loud but shouting telephone get old wa still told wasn't great
800,1,good work fine
801,1,price wa great deal
802,1,great price
803,0,wind completely useless
804,1,yes shiny front side love
805,0,doe not work
806,0,first thought wa getting good deal 7 44 plugged phone razor
807,1,reception head excellent
808,1,2 thumb seller
809,1,horizon phone work well together good reception range exceeds 20 foot line sight
810,0,improper description return
811,1,1 work 2 comfortable
812,1,battery charge life quite long
813,1,mavra largely fit ear well
814,0,battery ha no life
815,0,checked everywhere no feature really disappointing
816,1,product exactly described
817,1,get signal horizon phone won't
818,0,doesn't do job
819,1,would recommend
820,1,plan ordering
821,1,said phone camera nice many cool effect play video decent well
822,1,satisfied cell phone day one
823,1,keep getting better better third one i've numerous palm
824,0,awkward use reliable
825,1,shipping time wa also quick
826,0,not good hoped
827,1,good case
828,0,doesn't work
829,1,really good product
830,0,unfortunately not work
831,0,three broke within two month use
832,0,dont buy
833,0,father ha v265 battery dying
834,0,however ear pad come easily after one week lost one
835,0,call drop phone come screen go black worst stop ringing intermittently
836,0,horrible horrible protector
837,0,don't like nikita either
838,0,reaching bottom row uncomfortable send end key not expect 3
839,0,bought nikita cell phone week ago wa nightmare
840,0,would take long describe bad customer service experience ha amazon
841,0,disappointing thing wa wa no speakerphone
842,0,terrible car not accept cassette
843,0,product useless since doe not enough charging current charge 2 cellphone wa planning use
844,0,not say
845,0,stay away q
846,0,used dirty
847,0,reliable service mobile
848,0,not good enough price
849,0,bought two neither charge
850,1,look nice
851,1,excellent tool especially haired phone's auto answer
852,1,read other's review but haven't problem
853,0,product cover important light senior above ear outlet
854,1,comfortable hand
855,0,doe not work
856,0,poor reliability
857,1,work
858,0,take picture battery drop bar start keeping letting know dining
859,0,terrible product waste money
860,0,last time buying
861,0,wa waste money
862,1,far ha worked like charm
863,1,week but far good
864,1,but case best part download picture lawton using even send picture lawton phone
865,1,would recommend item
866,1,choice head year great sound good volume good noise cancellation
867,1,nice case feel good hand
868,0,item received wa counterfeit
869,1,really good far probably best head ever
870,1,work fine
871,1,received head good time wa happy
872,1,wa pleased see could replace well traveled wife bolster blackberry lip
873,1,sister ha one also love
874,1,good quality
875,0,far worst purchase i've made amazon
876,1,excellent dual purpose head
877,1,excellent
878,0,doe not work listening music singular 8125
879,1,seems completely secure both holding belt keeping phone inside
